Species,Genus,Family,Order,Ploidy,Base,Chromosome_number,No_diff_ploidies
Platanthera bifolia,Platanthera,Orchidaceae,Asparagales,2,21,42,1
Platanthera chlorantha,Platanthera,Orchidaceae,Asparagales,2,21,42,1
Platanus occidentalis,Platanus,Platanaceae,Proteales,2,21,42,1
Platanus orientalis,Platanus,Platanaceae,Proteales,2,21,42,1
Poa alpina,Poa,Poaceae,Poales,"5 (-3), 5, 6 (-3), 12",7,"32, 35, 39, 84",3
Poa angustifolia,Poa,Poaceae,Poales,8,7,"52, 61",1
Poa annua,Poa,Poaceae,Poales,4,7,28,1
Poa bulbosa,Poa,Poaceae,Poales,"4, 6 (+3)",7,"28, 45",2
Poa compressa,Poa,Poaceae,Poales,6,7,42,1
Poa flabellata,Poa,Poaceae,Poales,6,7,42,1
Poa flexuosa,Poa,Poaceae,Poales,6,7,42,1
Poa glauca,Poa,Poaceae,Poales,"6, 8, 10",7,"42, 56, 70",3
Poa humilis,Poa,Poaceae,Poales,"8 (-2), 8, 9 (+2), 10, 10 (+2), 12 (-1), 12, 13 (-1), 13 (+1), 14, 15, 16 (-3)",7,"54, 56, 65, 70, 72, 83, 84, 90, 92, 98, 105, 109",8
Poa infirma,Poa,Poaceae,Poales,2,7,14,1
Poa nemoralis,Poa,Poaceae,Poales,"6, 8",7,"42, 56",2
Poa pratensis,Poa,Poaceae,Poales,12,7,84,1
Poa trivialis,Poa,Poaceae,Poales,"2, 4",7,"14, 28",2
Polygala amarella,Polygala,Polygalaceae,Fabales,2,17,34,1
Polygala calcarea,Polygala,Polygalaceae,Fabales,2,17,34,1
Polygala serpyllifolia,Polygala,Polygalaceae,Fabales,2,17,34,1
Polygala vulgaris,Polygala,Polygalaceae,Fabales,"3 (+5), 4",17,"56, 68",2
Polygonatum multiflorum,Polygonatum,Asparagaceae,Asparagales,"2, 3 (+3)",9,"18, 30",2
Polygonatum odoratum,Polygonatum,Asparagaceae,Asparagales,3?,10,"26, 28, 29, 30",1
Polygonatum verticillatum,Polygonatum,Asparagaceae,Asparagales,"2, 6 (-6)",15,"30, 84",2
Polygonum arenastrum,Polygonum,Polygonaceae,Caryophyllales,4,10,40,1
Polygonum aviculare,Polygonum,Polygonaceae,Caryophyllales,6,10,60,1
Polygonum boreale,Polygonum,Polygonaceae,Caryophyllales,4,10,40,1
Polygonum maritimum,Polygonum,Polygonaceae,Caryophyllales,2,10,20,1
Polygonum oxyspermum,Polygonum,Polygonaceae,Caryophyllales,4,10,40,1
Polygonum rurivagum,Polygonum,Polygonaceae,Caryophyllales,6,10,60,1
Polypogon monspeliensis,Polypogon,Poaceae,Poales,4,7,28,1
Polypogon viridis,Polypogon,Poaceae,Poales,4,7,28,1
Populus balsamifera,Populus,Salicaceae,Malpighiales,2,19,38,1
Populus deltoides,Populus,Salicaceae,Malpighiales,2,19,38,1
Populus laurifolia,Populus,Salicaceae,Malpighiales,2,19,38,1
Populus nigra,Populus,Salicaceae,Malpighiales,2,19,38,1
Populus tremula,Populus,Salicaceae,Malpighiales,2,19,38,1
Populus trichocarpa,Populus,Salicaceae,Malpighiales,2,19,38,1
Potamogeton acutifolius,Potamogeton,Potamogetonaceae,Alismatales,2,14,28,1
Potamogeton alpinus,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton berchtoldii,Potamogeton,Potamogetonaceae,Alismatales,2,13,26,1
Potamogeton coloratus,Potamogeton,Potamogetonaceae,Alismatales,2,13,26,1
Potamogeton crispus,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton friesii,Potamogeton,Potamogetonaceae,Alismatales,2,13,26,1
Potamogeton gramineus,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton lucens,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton natans,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton nodosus,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton perfoliatus,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton polygonifolius,Potamogeton,Potamogetonaceae,Alismatales,2,14,28,1
Potamogeton praelongus,Potamogeton,Potamogetonaceae,Alismatales,4,13,52,1
Potamogeton trichoides,Potamogeton,Potamogetonaceae,Alismatales,2,13,26,1
Potentilla anglica,Potentilla,Rosaceae,Rosales,8,7,56,1
Potentilla anserina,Potentilla,Rosaceae,Rosales,"4, 6",7,"28, 42",2
Potentilla argentea,Potentilla,Rosaceae,Rosales,2,7,14,1
Potentilla crantzii,Potentilla,Rosaceae,Rosales,"6, 9",7,"42, 63",2
Potentilla erecta,Potentilla,Rosaceae,Rosales,4,7,28,1
Potentilla reptans,Potentilla,Rosaceae,Rosales,4,7,28,1
Potentilla sterilis,Potentilla,Rosaceae,Rosales,4,7,28,1
Potentilla tabernaemontani,Potentilla,Rosaceae,Rosales,"6, 7",7,"42, 49",2
Primula elatior,Primula,Primulaceae,Ericales,2,11,22,1
Primula farinosa,Primula,Primulaceae,Ericales,2,11,18,1
Primula juliae,Primula,Primulaceae,Ericales,2,11,22,1
Primula scotica,Primula,Primulaceae,Ericales,5,11,54,1
Primula veris,Primula,Primulaceae,Ericales,2,11,22,1
Primula vulgaris,Primula,Primulaceae,Ericales,2,11,22,1
Prospero autumnale,Prospero,Asparagaceae,Asparagales,"4, 6, 6 (+2)",7,"28, 42, 44",2
Prunella laciniata,Prunella,Lamiaceae,Lamiales,4,7,28,1
Prunella vulgaris,Prunella,Lamiaceae,Lamiales,4,7,28,1
Prunus avium,Prunus,Rosaceae,Rosales,2,8,16,1
Prunus cerasifera,Prunus,Rosaceae,Rosales,2,8,16,1
Prunus cerasus,Prunus,Rosaceae,Rosales,4,8,32,1
Prunus domestica,Prunus,Rosaceae,Rosales,6,8,48,1
Prunus padus,Prunus,Rosaceae,Rosales,4,8,32,1
Prunus spinosa,Prunus,Rosaceae,Rosales,4,8,32,1
Pseudorchis albida,Pseudorchis,Orchidaceae,Asparagales,2,20,40,1
Pseudosclerochloa rupestris,Pseudosclerochloa,Poaceae,Poales,6,7,42,1
Puccinellia distans,Puccinellia,Poaceae,Poales,"4, 6",7,"28, 42",2
Puccinellia fasciculata,Puccinellia,Poaceae,Poales,4,7,28,1
Puccinellia maritima,Puccinellia,Poaceae,Poales,"2, 7, 8, 9 (-3), 9, 11",7,"14, 49, 56, 60, 63, 77",5
Pyracantha coccinea,Pyracantha,Rosaceae,Rosales,2,17,34,1
Pyrus communis,Pyrus,Rosaceae,Rosales,2,17,34,1
Pyrus pyraster,Pyrus,Rosaceae,Rosales,2,17,34,1
Quercus cerris,Quercus,Fagaceae,Fagales,2,12,24,1
Quercus petraea,Quercus,Fagaceae,Fagales,2,12,24,1
Quercus robur,Quercus,Fagaceae,Fagales,2,12,24,1
Quercus suber,Quercus,Fagaceae,Fagales,2,12,24,1
Ranunculus acris,Ranunculus,Ranunculaceae,Ranunculales,2,7,14,1
Ranunculus aquatilis,Ranunculus,Ranunculaceae,Ranunculales,6,8,48,1
Ranunculus arvensis,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus auricomus,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus baudotii,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus bulbosus,Ranunculus,Ranunculaceae,Ranunculales,2,8,16,1
Ranunculus circinatus,Ranunculus,Ranunculaceae,Ranunculales,2,8,16,1
Ranunculus flammula,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus fluitans,Ranunculus,Ranunculaceae,Ranunculales,"2, 4",8,"16, 32",2
Ranunculus hederaceus,Ranunculus,Ranunculaceae,Ranunculales,2,8,16,1
Ranunculus omiophyllus,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus ophioglossifolius,Ranunculus,Ranunculaceae,Ranunculales,2,8,16,1
Ranunculus paludosus,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus parviflorus,Ranunculus,Ranunculaceae,Ranunculales,4,7,28,1
Ranunculus peltatus,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus penicillatus,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus repens,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus reptans,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus sardous,Ranunculus,Ranunculaceae,Ranunculales,2,8,16,1
Ranunculus sceleratus,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus trichophyllus,Ranunculus,Ranunculaceae,Ranunculales,4,8,32,1
Ranunculus tripartitus,Ranunculus,Ranunculaceae,Ranunculales,6,8,48,1
Raphanus raphanistrum,Raphanus,Brassicaceae,Brassicales,2,9,18,1
Reseda luteola,Reseda,Resedaceae,Brassicales,2,13,26,1
Reynoutria japonica,Reynoutria,Polygonaceae,Caryophyllales,"4, 8",11,"44, 88",2
Rhamnus cathartica,Rhamnus,Rhamnaceae,Rosales,2,12,24,1
Rhinanthus minor,Rhinanthus,Orobanchaceae,Lamiales,2,11,22,1
Ribes alpinum,Ribes,Grossulariaceae,Saxifragales,2,8,16,1
Ribes nigrum,Ribes,Grossulariaceae,Saxifragales,2,8,16,1
Ribes rubrum,Ribes,Grossulariaceae,Saxifragales,2,8,16,1
Ribes uva-crispa,Ribes,Grossulariaceae,Saxifragales,2,8,16,1
Rorippa amphibia,Rorippa,Brassicaceae,Brassicales,"2, 4",8,"16, 32",2
Rorippa austriaca,Rorippa,Brassicaceae,Brassicales,2,8,16,1
Rorippa islandica,Rorippa,Brassicaceae,Brassicales,2,8,16,1
Rorippa palustris,Rorippa,Brassicaceae,Brassicales,4,8,32,1
Rorippa sylvestris,Rorippa,Brassicaceae,Brassicales,6,8,48,1
Rosa agrestis,Rosa,Rosaceae,Rosales,"5, 6",7,"35, 42",2
Rosa arvensis,Rosa,Rosaceae,Rosales,2,7,14,1
Rosa caesia,Rosa,Rosaceae,Rosales,5,7,"34, 35",1
Rosa canina,Rosa,Rosaceae,Rosales,5,7,35,1
Rosa micrantha,Rosa,Rosaceae,Rosales,"5, 6",7,"35, 42",2
Rosa mollis,Rosa,Rosaceae,Rosales,"4, 8",7,"28, 56",2
Rosa obtusifolia,Rosa,Rosaceae,Rosales,5,7,35,1
Rosa rubiginosa,Rosa,Rosaceae,Rosales,5,7,35,1
Rosa rugosa,Rosa,Rosaceae,Rosales,2,7,14,1
Rosa sherardii,Rosa,Rosaceae,Rosales,"4, 5",7,"28, 35",2
Rosa spinosissima,Rosa,Rosaceae,Rosales,4,7,28,1
Rosa stylosa,Rosa,Rosaceae,Rosales,"5 (-1), 5, 6",7,"34, 35, 42",2
Rosa tomentosa,Rosa,Rosaceae,Rosales,5,7,35,1
Rosa xanthina,Rosa,Rosaceae,Rosales,4,7,28,1
Rubus adenoleucus,Rubus,Rosaceae,Rosales,5,7,35,1
Rubus adornatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus ahenifolius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus amplificatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus anglocandicans,Rubus,Rosaceae,Rosales,5,7,35,1
Rubus armipotens,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus arrheniiformis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus asperidens,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus babingtonianus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus bakerianus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus bertramii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus bloxamianus,Rubus,Rosaceae,Rosales,6,7,42,1
Rubus bloxamii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus boraeanus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus braeuckeri,Rubus,Rosaceae,Rosales,3,7,21,1
Rubus britannicus,Rubus,Rosaceae,Rosales,6,7,42,1
Rubus caesius,Rubus,Rosaceae,Rosales,"4, 5",7,"28, 35",2
Rubus cardiophyllus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus chamaemorus,Rubus,Rosaceae,Rosales,8,7,56,1
Rubus chrysoxylon,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus cissburiensis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus cockburnianus,Rubus,Rosaceae,Rosales,2,7,14,1
Rubus conjungens,Rubus,Rosaceae,Rosales,"4, 5",7,"28, 35",2
Rubus crespignyanus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus dentatifolius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus diversus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus dumnoniensis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus echinatoides,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus echinatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus egregius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus errabundus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus erythrops,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus fissus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus formidabilis,Rubus,Rosaceae,Rosales,"4, 5",7,"28, 35",2
Rubus furvicolor,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus glanduliger,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus gratus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus griffithianus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus halsteadensis,Rubus,Rosaceae,Rosales,5,7,35,1
Rubus hartmanii,Rubus,Rosaceae,Rosales,5,7,35,1
Rubus hastiformis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus heterobelus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus hylophilus,Rubus,Rosaceae,Rosales,3,7,21,1
Rubus idaeus,Rubus,Rosaceae,Rosales,"2, 3, 4, 6",7,"14, 21, 28, 42",4
Rubus imbricatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus incurvatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus infestisepalus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus infestus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus insectifolius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus integribasis,Rubus,Rosaceae,Rosales,6,7,42,1
Rubus iricus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus laciniatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus largificus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus lentiginosus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus leptadenes,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus leucandrus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus leucostachys,Rubus,Rosaceae,Rosales,"3, 4",7,"21, 28",2
Rubus leyanus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus lindebergii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus lindleianus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus loganobaccus,Rubus,Rosaceae,Rosales,7,7,49,1
Rubus longifrons,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus longithyrsiger,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus macrophyllus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus macrothyrsus,Rubus,Rosaceae,Rosales,"2, 4",7,"14, 28",2
Rubus marshallii,Rubus,Rosaceae,Rosales,5,7,35,1
Rubus melanodermis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus mercicus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus mollissimus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus murrayi,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus naldrettii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus nemoralis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus nemorosus,Rubus,Rosaceae,Rosales,"4, 5",7,"28, 35",2
Rubus neomalacus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus newbouldii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus newbridgensis,Rubus,Rosaceae,Rosales,"4, 6",7,"28, 42",2
Rubus nitidiformis,Rubus,Rosaceae,Rosales,"4, 6",7,"28, 42",2
Rubus odoratus,Rubus,Rosaceae,Rosales,2,7,14,1
Rubus oxyanchus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus pallidus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus parviflorus,Rubus,Rosaceae,Rosales,2,7,14,1
Rubus patuliformis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus pedemontanus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus permundus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus phaeocarpus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus phoenicolasius,Rubus,Rosaceae,Rosales,2,7,14,1
Rubus plicatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus podophyllus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus polyanthemus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus praecox,Rubus,Rosaceae,Rosales,"4, 7",7,"28, 49",2
Rubus proiectus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus pruinosus,Rubus,Rosaceae,Rosales,5,7,35,1
Rubus pyramidalis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus questieri,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus radula,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rhombifolius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rosaceus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rotundifolius,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rubritinctus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus rufescens,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus salteri,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus saxatilis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus scaber,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus sciocharis,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus scissus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus silvaticus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus sprengelii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus subinermoides,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus subtercanens,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus sulcatus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus tardus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus ulmifolius,Rubus,Rosaceae,Rosales,"2, 4",7,"14, 28",2
Rubus vigorosus,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus warrenii,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus winteri,Rubus,Rosaceae,Rosales,4,7,28,1
Rubus wolleydodii,Rubus,Rosaceae,Rosales,4,7,28,1
Rumex acetosa,Rumex,Polygonaceae,Caryophyllales,2,7,14,1
Rumex acetosella,Rumex,Polygonaceae,Caryophyllales,"4, 6",7,"28, 42",2
Rumex conglomeratus,Rumex,Polygonaceae,Caryophyllales,2,10,20,1
Rumex crispus,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex cristatus,Rumex,Polygonaceae,Caryophyllales,8,10,80,1
Rumex dentatus,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex frutescens,Rumex,Polygonaceae,Caryophyllales,16,10,160,1
Rumex hydrolapathum,Rumex,Polygonaceae,Caryophyllales,13,10,130,1
Rumex longifolius,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex maritimus,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex obovatus,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex obtusifolius,Rumex,Polygonaceae,Caryophyllales,4,10,40,1
Rumex palustris,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex patientia,Rumex,Polygonaceae,Caryophyllales,6,10,60,1
Rumex rupestris,Rumex,Polygonaceae,Caryophyllales,2,10,20,1
Rumex sanguineus,Rumex,Polygonaceae,Caryophyllales,2,10,20,1
Ruppia cirrhosa,Ruppia,Ruppiaceae,Alismatales,4,10,40,1
Ruppia maritima,Ruppia,Ruppiaceae,Alismatales,2,10,20,1
Ruscus aculeatus,Ruscus,Asparagaceae,Asparagales,2,20,40,1
Sagina apetala,Sagina,Caryophyllaceae,Caryophyllales,2,6,12,1
Sagina filicaulis,Sagina,Caryophyllaceae,Caryophyllales,2,6,12,1
Sagina maritima,Sagina,Caryophyllaceae,Caryophyllales,4,7,28,1
Sagina nodosa,Sagina,Caryophyllaceae,Caryophyllales,5,11,56,1
Sagina procumbens,Sagina,Caryophyllaceae,Caryophyllales,2,11,22,1
Sagina saginoides,Sagina,Caryophyllaceae,Caryophyllales,2,11,22,1
Sagina subulata,Sagina,Caryophyllaceae,Caryophyllales,2,11,22,1
Salicornia dolichostachya,Salicornia,Amaranthaceae,Caryophyllales,4,9,36,1
Salicornia emerici,Salicornia,Amaranthaceae,Caryophyllales,4,9,36,1
Salicornia europaea,Salicornia,Amaranthaceae,Caryophyllales,"2, 4",9,"18, 36",2
Salicornia nitens,Salicornia,Amaranthaceae,Caryophyllales,4,9,36,1
Salicornia obscura,Salicornia,Amaranthaceae,Caryophyllales,2,9,18,1
Salicornia pusilla,Salicornia,Amaranthaceae,Caryophyllales,2,9,"16, 18",1
Salicornia ramosissima,Salicornia,Amaranthaceae,Caryophyllales,"2, 4",9,"18, 36",2
Salix acutifolia,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix alba,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix arbuscula,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix atrocinerea,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix aurita,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix babylonica,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix caprea,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix cinerea,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix daphnoides,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix euxina,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix fragilis,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix herbacea,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix lanata,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix lapponum,Salix,Salicaceae,Malpighiales,"2, 4",19,"38, 76",2
Salix myrsinifolia,Salix,Salicaceae,Malpighiales,6,19,114,1
Salix myrsinites,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix pentandra,Salix,Salicaceae,Malpighiales,4,19,76,1
Salix purpurea,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix repens,Salix,Salicaceae,Malpighiales,2,18,36,1
Salix reticulata,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix triandra,Salix,Salicaceae,Malpighiales,2,19,38,1
Salix viminalis,Salix,Salicaceae,Malpighiales,2,19,38,1
Salsola kali,Salsola,Amaranthaceae,Caryophyllales,4,9,36,1
Salvia verbenaca,Salvia,Lamiaceae,Lamiales,6,9,54,1
Sambucus ebulus,Sambucus,Adoxaceae,Dipsacales,2,18,36,1
Sambucus nigra,Sambucus,Adoxaceae,Dipsacales,2,18,36,1
Sanguisorba minor,Sanguisorba,Rosaceae,Rosales,4,7,28,1
Sanguisorba officinalis,Sanguisorba,Rosaceae,Rosales,"4, 8",7,"28, 56",2
Sanicula europaea,Sanicula,Apiaceae,Apiales,2,8,16,1
Saponaria officinalis,Saponaria,Caryophyllaceae,Caryophyllales,2,14,28,1
Sarcocornia perennis,Sarcocornia,Amaranthaceae,Caryophyllales,2,9,18,1
Saussurea alpina,Saussurea,Asteraceae,Asterales,6,9,54,1
Saxifraga cuneifolia,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga granulata,Saxifraga,Saxifragaceae,Saxifragales,3,11,32,1
Saxifraga hirsuta,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga hypnoides,Saxifraga,Saxifragaceae,Saxifragales,"3 (+2), 4 (-2), 6, 7 (-4), 8",8,"26, 30, 48, 52, 64",5
Saxifraga oppositifolia,Saxifraga,Saxifragaceae,Saxifragales,2,13,26,1
Saxifraga rosacea,Saxifraga,Saxifragaceae,Saxifragales,"4, 6, 7 (-4), 8",8,"32, 48, 52, 64",4
Saxifraga spathularis,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga stellaris,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Saxifraga umbrosa,Saxifraga,Saxifragaceae,Saxifragales,4,7,28,1
Scabiosa columbaria,Scabiosa,Caprifoliaceae,Dipsacales,2,8,16,1
Scheuchzeria palustris,Scheuchzeria,Scheuchzeriaceae,Alismatales,2,11,22,1
Scilla verna,Scilla,Asparagaceae,Asparagales,2,10,"20, 22",1
Scolochloa festucacea,Scolochloa,Poaceae,Poales,6,7,42,1
Scorzonera humilis,Scorzonera,Asteraceae,Asterales,2,7,14,1
Scorzoneroides autumnalis,Scorzoneroides,Asteraceae,Asterales,3,4,12,1
Scrophularia nodosa,Scrophularia,Scrophulariaceae,Lamiales,2,18,36,1
Scrophularia umbrosa,Scrophularia,Scrophulariaceae,Lamiales,"2, 4 (-2), 4",20,"40, 78, 80",2
Scutellaria galericulata,Scutellaria,Lamiaceae,Lamiales,4,8,"30, 32",1
Secale cereale,Secale,Poaceae,Poales,2,7,14,1
Sedum album,Sedum,Crassulaceae,Saxifragales,2,17,34,1
Sedum forsterianum,Sedum,Crassulaceae,Saxifragales,8,12,90,1
Sedum telephium,Sedum,Crassulaceae,Saxifragales,2,12,"24, 26",1
Senecio aquaticus,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio cambrensis,Senecio,Asteraceae,Asterales,6,10,60,1
Senecio erucifolius,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio jacobaea,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio leucanthemifolius,Senecio,Asteraceae,Asterales,2,10,20,1
Senecio squalidus,Senecio,Asteraceae,Asterales,2,10,20,1
Senecio sylvaticus,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio viscosus,Senecio,Asteraceae,Asterales,4,10,40,1
Senecio vulgaris,Senecio,Asteraceae,Asterales,4,10,40,1
Sesleria albicans,Sesleria,Poaceae,Poales,4,7,28,1
Sesleria caerulea,Sesleria,Poaceae,Poales,4,7,28,1
Silene acaulis,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene dioica,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene gallica,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene latifolia,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene noctiflora,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene nutans,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene otites,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene suecica,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene uniflora,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene viscaria,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Silene vulgaris,Silene,Caryophyllaceae,Caryophyllales,2,12,24,1
Sinapis alba,Sinapis,Brassicaceae,Brassicales,3,8,24,1
Sinapis arvensis,Sinapis,Brassicaceae,Brassicales,2,9,18,1
